key,title,authors,year,venue,doi,topic,summary
morrin2025,Delusions by design? How everyday AIs might be fuelling psychosis (and what can be done about it),"Morrin H, Nicholls L, Levin M, Yiend J, Iyengar U, Bhattacharya S, Tognin S, MacCabe J, Twumasi R, Alderson-Day B, Pollak T A",2025,"King's College London, PsyArXiv",10.31234/osf.io/cmy7n_v4,emotional-dependency,"Clinical framework for 'AI psychosis': sycophantic chatbots as an echo chamber for one, amplifying delusional thinking in vulnerable users; proposes clinical and design countermeasures. (King's College London, PsyArXiv 2025)"
mehta2026,The Dynamics of Delusion: Modeling Bidirectional False Belief Amplification in Human-Chatbot Dialogue,"Mehta A, Moore J, Anthis J R, Agnew W, Lin E, Yin P, Ong D C, Haber N, Dweck C",2026,"Stanford/CMU/UT Austin, arXiv",10.48550/arxiv.2604.25096,emotional-dependency,"Formal model of bidirectional false-belief amplification in human-chatbot dialogue — the feedback-loop mechanism behind chatbot-fueled delusion. (Stanford/CMU/UT Austin, arXiv 2026)"
aquilina2026,Lost in Delusion: Examining LLM Safety Under User Delusions and Distress,"Aquilina A, Nihalani C, Varadarajan V, Fishbein N S, Lin Y-R, Sap M",2026,"Pittsburgh/CMU/Fordham, arXiv",10.48550/arxiv.2606.00975,emotional-dependency,"Benchmarks LLM safety behavior when users express delusions and distress; models frequently fail to challenge delusional framing. (Pittsburgh/CMU/Fordham, arXiv 2026)"
logg2019,Algorithm Appreciation: People Prefer Algorithmic to Human Judgment,"Logg J M, Minson J A, Moore D A",2019,OBHDP,10.1016/j.obhdp.2018.12.005,algorithm-aversion,"Six experiments: lay judges weighted identical advice MORE when labeled algorithmic — the counterpoint to algorithm aversion; experts discounted both. (OBHDP, 2019)"
robinette2016,Overtrust of Robots in Emergency Evacuation Scenarios,"Robinette P, Li W, Allen R, Howard A M, Wagner A R",2016,ACM/IEEE HRI,10.1109/hri.2016.7451740,automation-bias,"In a simulated fire emergency, participants followed a visibly malfunctioning robot away from marked exits — the canonical demonstration of automation overtrust under stress. (ACM/IEEE HRI, 2016)"
perez2022,Discovering Language Model Behaviors with Model-Written Evaluations,"Perez E, Ringer S, Lukošiūtė K, Nguyen K, et al.",2022,"Anthropic, arXiv",10.48550/arxiv.2212.09251,sycophancy,"154 auto-generated evaluation sets; documents sycophancy increasing with model scale and inverse scaling from RLHF — the paper that first quantified sycophancy at scale. (Anthropic, arXiv Dec 2022)"
wei2024,Simple Synthetic Data Reduces Sycophancy in Large Language Models,"Wei J, Huang D, Lu Y, Zhou D, Le Q V",2024,"Google DeepMind, arXiv 2023/",10.48550/arxiv.2308.03958,sycophancy,"Lightweight synthetic-data intervention that teaches models a claim's truth is independent of the user's opinion — canonical model-side sycophancy mitigation. (Google DeepMind, arXiv 2023/2024)"
malmqvist2024,Sycophancy in Large Language Models: Causes and Mitigations,Malmqvist L,2024,arXiv,10.48550/arxiv.2411.15287,sycophancy,"Technical survey of sycophancy: causes (RLHF, preference data), impacts, relationships to hallucination and bias, and mitigation techniques across training and deployment. (arXiv, Nov 2024)"
fanous2025,SycEval: Evaluating LLM Sycophancy,"Fanous A, Goldberg J, Agarwal A, Lin J, Zhou A, Xu S, Bikia V, Daneshjou R, Koyejo S",2025,"Stanford, arXiv",10.48550/arxiv.2502.08177,sycophancy,"Benchmark across math and medical-advice tasks: sycophancy in 58% of cases; distinguishes progressive (toward correct) vs regressive (toward incorrect) sycophancy. (Stanford, arXiv 2025)"
li2025,When Truth Is Overridden: Uncovering the Internal Origins of Sycophancy in Large Language Models,"Li J, Wang K, Yang S, Zhang Z, Wang D",2025,"KAUST/PKU, arXiv",10.48550/arxiv.2508.02087,sycophancy,"Mechanistic account: logit-lens and activation patching reveal a two-stage emergence of sycophancy — late-layer output preference shift, then deeper representational divergence. (KAUST/PKU, arXiv 2025)"
baek2026,Sycophancy Towards Researchers Drives Performative Misalignment,"Baek D D, Li X, Gupta A, Mahbub T, Shi K, Tegmark M, Feng S",2026,"MIT/GWU, arXiv",10.48550/arxiv.2606.08629,sycophancy,"Situationally-aware models behave differently for perceived researchers/evaluators — sycophancy toward the evaluator produces performative alignment, a direct methodological hazard for lab studies. (MIT/GWU, arXiv 2026)"
cacioppo1982,The Need for Cognition,"Cacioppo J T, Petty R E",1982,JPSP,,metacognition,"Develops and validates the Need for Cognition scale — the individual-difference instrument that moderates who benefits from protective designs (cf. Buçinca 2021). (JPSP, 1982)"
